iter	Passed	Remaining
535	4285	3709
536	4292	3701
537	4299	3692
538	4307	3684
539	4314	3675
540	4322	3667
541	4330	3658
542	4337	3650
543	4344	3641
544	4352	3633
545	4359	3625
546	4368	3617
547	4374	3608
548	4383	3600
549	4390	3592
550	4398	3583
551	4405	3575
552	4412	3566
553	4419	3558
554	4427	3549
555	4434	3541
556	4441	3532
557	4448	3524
558	4456	3515
559	4464	3507
560	4471	3499
561	4479	3490
562	4487	3483
563	4494	3474
564	4501	3465
565	4508	3457
566	4516	3448
567	4523	3440
568	4531	3432
569	4539	3424
570	4546	3415
571	4553	3407
572	4560	3398
573	4569	3391
574	4576	3382
575	4583	3373
576	4590	3365
577	4600	3358
578	4607	3350
579	4614	3341
580	4621	3333
581	4629	3325
582	4636	3316
583	4644	3308
584	4651	3299
585	4659	3291
586	4667	3283
587	4674	3275
588	4681	3266
589	4689	3258
590	4696	3250
591	4704	3242
592	4712	3234
593	4719	3226
594	4727	3217
595	4735	3209
596	4743	3201
597	4751	3194
598	4758	3185
599	4766	3177
600	4773	3169
601	4782	3161
602	4789	3153
603	4796	3144
604	4804	3136
605	4812	3129
606	4820	3120
607	4827	3112
608	4834	3103
609	4842	3096
610	4850	3087
611	4857	3079
612	4865	3071
613	4872	3063
614	4879	3054
615	4886	3046
616	4893	3037
617	4902	3030
618	4909	3021
619	4916	3013
620	4923	3004
621	4930	2996
622	4938	2988
623	4946	2980
624	4953	2972
625	4960	2963
626	4968	2955
627	4975	2947
628	4984	2939
629	4992	2931
630	5001	2924
631	5008	2916
632	5016	2908
633	5024	2900
634	5029	2891
635	5036	2882
636	5044	2874
637	5051	2865
638	5058	2857
639	5066	2849
640	5073	2841
641	5080	2833
642	5088	2825
643	5096	2817
644	5104	2809
645	5111	2800
646	5119	2793
647	5126	2784
648	5133	2776
649	5141	2768
650	5150	2761
651	5158	2753
652	5166	2745
653	5173	2736
654	5180	2728
655	5187	2720
656	5194	2711
657	5202	2704
658	5210	2696
659	5217	2687
660	5224	2679
661	5231	2671
662	5239	2663
663	5247	2655
664	5254	2647
665	5261	2638
666	5269	2630
667	5277	2622
668	5285	2615
669	5293	2607
670	5300	2598
671	5309	2591
672	5316	2583
673	5323	2574
674	5331	2566
675	5339	2559
676	5346	2551
677	5354	2542
678	5360	2534
679	5369	2526
680	5377	2518
681	5384	2510
682	5391	2502
683	5399	2494
684	5407	2486
685	5414	2478
686	5421	2470
687	5429	2462
688	5436	2453
689	5443	2445
690	5450	2437
691	5458	2429
692	5467	2422
693	5474	2413
694	5481	2405
695	5489	2397
696	5496	2389
697	5504	2381
698	5511	2373
699	5519	2365
700	5524	2356
701	5532	2348
702	5540	2340
703	5546	2332
704	5554	2324
705	5562	2316
706	5570	2308
707	5578	2300
708	5584	2292
709	5592	2284
710	5600	2276
711	5607	2268
712	5614	2260
713	5620	2251
714	5627	2243
715	5634	2235
716	5641	2226
717	5648	2218
718	5655	2210
719	5661	2201
720	5669	2193
721	5676	2185
722	5683	2177
723	5690	2169
724	5698	2161
725	5705	2153
726	5712	2145
727	5720	2137
728	5727	2129
729	5735	2121
730	5742	2113
731	5752	2106
732	5760	2098
733	5768	2090
734	5776	2082
735	5783	2074
736	5789	2065
737	5795	2057
738	5802	2049
739	5810	2041
740	5816	2033
741	5824	2025
742	5831	2017
743	5839	2009
744	5846	2001
745	5853	1993
746	5861	1985
747	5870	1977
748	5878	1969
749	5884	1961
750	5890	1952
751	5897	1944
752	5904	1936
753	5912	1928
754	5920	1921
755	5927	1913
756	5935	1905
757	5942	1897
758	5950	1889
759	5957	1881
760	5965	1873
761	5972	1865
762	5980	1857
763	5987	1849
764	5995	1841
765	6002	1833
766	6009	1825
767	6016	1817
768	6023	1809
769	6030	1801
770	6038	1793
771	6045	1785
772	6052	1777
773	6058	1769
774	6066	1761
775	6072	1752
776	6079	1744
777	6087	1737
778	6094	1728
779	6100	1720
780	6107	1712
781	6115	1704
782	6122	1696
783	6129	1688
784	6137	1681
785	6145	1673
786	6153	1665
787	6160	1657
788	6168	1649
789	6176	1641
790	6183	1633
791	6192	1626
792	6199	1618
793	6206	1610
794	6214	1602
795	6221	1594
796	6228	1586
797	6235	1578
798	6243	1570
799	6250	1562
800	6259	1555
801	6265	1546
802	6272	1538
803	6278	1530
804	6285	1522
805	6293	1514
806	6300	1506
807	6308	1499
808	6314	1490
809	6322	1483
810	6328	1474
811	6335	1466
812	6340	1458
813	6348	1450
814	6354	1442
815	6361	1434
816	6370	1426
817	6377	1418
818	6385	1411
819	6392	1403
820	6399	1395
821	6406	1387
822	6413	1379
823	6420	1371
824	6428	1363
825	6435	1355
826	6442	1347
827	6449	1339
828	6457	1331
829	6464	1324
830	6473	1316
831	6480	1308
832	6488	1300
833	6496	1293
834	6504	1285
835	6511	1277
836	6517	1269
837	6524	1261
838	6530	1253
839	6536	1245
840	6543	1237
841	6549	1229
842	6555	1220
843	6561	1212
844	6569	1205
845	6577	1197
846	6582	1189
847	6589	1181
848	6598	1173
849	6605	1165
850	6613	1157
851	6619	1149
852	6626	1141
853	6631	1133
854	6639	1125
855	6644	1117
856	6651	1109
857	6659	1102
858	6667	1094
859	6673	1086
860	6680	1078
861	6687	1070
862	6694	1062
863	6699	1054
864	6705	1046
865	6712	1038
866	6735	1033
867	6742	1025
868	6750	1017
869	6757	1009
870	6764	1001
871	6771	993
872	6779	986
873	6784	978
874	6790	970
875	6797	962
876	6805	954
877	6812	946
878	6819	938
879	6825	930
880	6832	922
881	6839	915
882	6847	907
883	6852	899
884	6860	891
885	6865	883
886	6873	875
887	6878	867
888	6885	859
889	6893	851
890	6901	844
891	6909	836
892	6917	828
893	6925	821
894	6931	813
895	6936	805
896	6943	797
897	6951	789
898	6958	781
899	6966	774
900	6972	766
901	6979	758
902	6985	750
903	6991	742
904	6999	734
905	7006	726
906	7014	719
907	7021	711
908	7028	703
909	7035	695
910	7040	687
911	7046	679
912	7052	672
913	7059	664
914	7067	656
915	7073	648
916	7082	641
917	7089	633
918	7095	625
919	7102	617
920	7109	609
921	7114	601
922	7121	594
923	7129	586
924	7137	578
925	7143	570
926	7150	563
927	7158	555
928	7164	547
929	7170	539
930	7176	531
931	7181	523
932	7189	516
933	7196	508
934	7202	500
935	7210	493
936	7218	485
937	7224	477
938	7230	469
939	7236	461
940	7243	454
941	7250	446
942	7257	438
943	7265	431
944	7272	423
945	7280	415
946	7288	407
947	7295	400
948	7302	392
949	7307	384
950	7315	376
951	7321	369
952	7327	361
953	7334	353
954	7341	345
955	7348	338
956	7354	330
957	7362	322
958	7369	315
959	7375	307
960	7381	299
961	7387	291
962	7394	284
963	7402	276
964	7407	268
965	7415	260
966	7423	253
967	7429	245
968	7435	237
969	7443	230
970	7451	222
971	7458	214
972	7464	207
973	7472	199
974	7478	191
975	7485	184
976	7492	176
977	7498	168
978	7504	160
979	7512	153
980	7519	145
981	7526	137
982	7532	130
983	7539	122
984	7546	114
985	7552	107
986	7559	99
987	7567	91
988	7574	84
989	7581	76
990	7588	68
991	7595	61
992	7603	53
993	7609	45
994	7617	38
995	7623	30
996	7630	22
997	7638	15
998	7644	7
999	7649	0
